Incident,Date,Location,County
2022378960,2022-12-31,VALLEYWOOD RD,Anne Arundel
2022378908,2022-12-31,W NURSERY RD,Anne Arundel
2022378903,2022-12-31,FURNACE BRANCH RD E,Anne Arundel
2022378685,2022-12-31,10TH AVE/HARBOR VALLEY DR,Anne Arundel
2022378684,2022-12-31,BROADVIEW BLVD N,Anne Arundel
2022378490,2022-12-31,MARLEY NECK RD/BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022378463,2022-12-31,Potee St/W Jeffrey St,Anne Arundel
2022378459,2022-12-31,DAVIDSONVILLE RD/GERSTANHAL RD,Anne Arundel
2022378383,2022-12-31,"NATURE WALK LN",Anne Arundel
2022378254,2022-12-30,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022378239,2022-12-30,RITCHIE HWY,Anne Arundel
2022378210,2022-12-30,RITCHIE HWY/WB I695,Anne Arundel
2022378140,2022-12-30,ADMIRAL DR/OLD ADMIRAL CT,Anne Arundel
2022378045,2022-12-30,WEST ST,Anne Arundel
2022378026,2022-12-30,SUMMIT RD,Anne Arundel
2022378016,2022-12-30,DORSEY RD/SHIPLEY AVE,Anne Arundel
2022377950,2022-12-30,JONES STATION RD/BECKETT CT,Anne Arundel
2022377921,2022-12-30,WAUGH CHAPEL RD/NEW MARKET LN,Anne Arundel
2022377894,2022-12-30,NB RT295 ONR EB LAUREL FT MEAD/LAUREL FORT MEADE RD,Anne Arundel
2022377653,2022-12-30,MOUNTAIN RD,Anne Arundel
2022377372,2022-12-30,DAVIDSONVILLE RD,Anne Arundel
2022377251,2022-12-29,MARGATE DR,Anne Arundel
2022377196,2022-12-29,MONTROSE RD,Anne Arundel
2022377164,2022-12-29,SAMANTHA CT,Anne Arundel
2022376993,2022-12-29,CRAIN HWY N,Anne Arundel
2022376927,2022-12-29,PINEY ORCHARD PKWY/ODENTON RD,Anne Arundel
2022376891,2022-12-29,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022376843,2022-12-29,RITCHIE HWY,Anne Arundel
2022376804,2022-12-29,FAYWOOD CT,Anne Arundel
2022376751,2022-12-29,CHURCH CIR,Anne Arundel
2022376732,2022-12-29,WESLEY RD,Anne Arundel
2022376684,2022-12-29,CLARK RD,Anne Arundel
2022376662,2022-12-29,ARUNDEL MILLS CIR,Anne Arundel
2022376518,2022-12-29,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022376361,2022-12-29,RITCHIE HWY,Anne Arundel
2022376317,2022-12-28,"ARUNDEL MILLS CIR, GAR",Anne Arundel
2022376279,2022-12-28,ARUNDEL MILLS CIR,Anne Arundel
2022376272,2022-12-28,ERTTER DR,Anne Arundel
2022376052,2022-12-28,SOLOMONS ISLAND RD,Anne Arundel
2022375982,2022-12-28,SNUG HARBOR RD/CEDAR LN,Anne Arundel
2022375889,2022-12-28,RITCHIE HWY,Anne Arundel
2022375454,2022-12-28,RITCHIE HWY,Anne Arundel
2022375447,2022-12-28,WINBORNE DR,Anne Arundel
2022375424,2022-12-28,WHARF DR,Anne Arundel
2022375377,2022-12-27,220TH ST,Anne Arundel
2022375339,2022-12-27,FORT SMALLWOOD RD,Anne Arundel
2022375253,2022-12-27,HOSPITAL DR/ELVATON RD,Anne Arundel
2022375245,2022-12-27,TALBOT RD,Anne Arundel
2022375054,2022-12-27,DOGWOOD RD,Anne Arundel
2022375015,2022-12-27,WOODLAKE CT,Anne Arundel
2022375009,2022-12-27,ARUNDEL MILLS CIR,Anne Arundel
2022374835,2022-12-27,ENFIELD WAY,Anne Arundel
2022374813,2022-12-27,GEORGE CLAUSS BLVD,Anne Arundel
2022374757,2022-12-27,MEDICAL PKWY,Anne Arundel
2022374742,2022-12-27,LAUREL FORT MEADE RD,Anne Arundel
2022374710,2022-12-27,BOYDS TURN RD/FRIENDSHIP RD,Anne Arundel
2022374592,2022-12-27,E BAY FRONT RD/SOLOMONS ISLAND RD,Anne Arundel
2022374587,2022-12-27,WINDING WOOD RD,Anne Arundel
2022374491,2022-12-27,RITCHIE HWY,Anne Arundel
2022374474,2022-12-27,OLD LINE AVE,Anne Arundel
2022374361,2022-12-26,SOUTH RIVER TER,Anne Arundel
2022374360,2022-12-26,CRAIN HWY S/EVERGREEN RD,Anne Arundel
2022374354,2022-12-26,BRANDERMILL BLVD,Anne Arundel
2022374342,2022-12-26,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022374263,2022-12-26,ANNAPOLIS RD/GATEWAY BLVD,Anne Arundel
2022374202,2022-12-26,ANNAPOLIS MALL,Anne Arundel
2022374198,2022-12-26,RITCHIE HWY,Anne Arundel
2022373995,2022-12-26,CHURCH RD/CARROLL RD,Anne Arundel
2022373907,2022-12-26,ELDRIDGE RD,Anne Arundel
2022373883,2022-12-26,PIKE RIDGE RD/SOLOMONS ISLAND RD,Anne Arundel
2022373884,2022-12-26,SOLOMONS ISLAND RD/STEWART DR,Anne Arundel
2022373856,2022-12-26,MAIN ST,Anne Arundel
2022373829,2022-12-26,SB RT295/WB RT100,Anne Arundel
2022373793,2022-12-26,SOUTHBRIDGE DR,Anne Arundel
2022373663,2022-12-26,BON AIR AVE,Anne Arundel
2022373643,2022-12-26,CEDAR RD,Anne Arundel
2022373603,2022-12-26,LEDNURA RD/HAILE AVE,Anne Arundel
2022373452,2022-12-25,OLD MILL RD,Anne Arundel
2022373405,2022-12-25,OAKLEIGH AVE,Anne Arundel
2022373304,2022-12-25,5TH AVE SE,Anne Arundel
2022373275,2022-12-25,CHESTNUT TRL,Anne Arundel
2022373260,2022-12-25,1ST AVE,Anne Arundel
2022373245,2022-12-25,ARUNDEL MILLS CIR,Anne Arundel
2022373214,2022-12-25,MORAINE DR,Anne Arundel
2022373026,2022-12-24,RITCHIE HWY,Anne Arundel
2022372984,2022-12-24,SHREVE CT,Anne Arundel
2022372949,2022-12-24,COMPROMISE ST,Anne Arundel
2022372943,2022-12-24,CRAIN HWY S,Anne Arundel
2022372853,2022-12-24,WB US50 ONR NB I97/NB I97,Anne Arundel
2022372815,2022-12-24,ARUNDEL MILLS BLVD,Anne Arundel
2022372793,2022-12-24,VALIANT CIR,Anne Arundel
2022372786,2022-12-24,RITCHIE HWY,Anne Arundel
2022372780,2022-12-24,ARUNDEL MILLS CIR,Anne Arundel
2022372781,2022-12-24,MARSHALL RD,Anne Arundel
2022372750,2022-12-24,OLD MILL RD,Anne Arundel
2022372686,2022-12-24,WEST DR,Anne Arundel
2022372673,2022-12-24,WEST DR,Anne Arundel
2022372639,2022-12-24,OLD MILL RD/VETERANS HWY,Anne Arundel
2022372577,2022-12-24,ARUNDEL MILLS CIR,Anne Arundel
2022372529,2022-12-24,BERKSHIRE DR,Anne Arundel
2022372492,2022-12-24,ADMIRAL COCHRANE DR,Anne Arundel
2022372386,2022-12-23,ELLSWORTH TER/HERITAGE XING,Anne Arundel
2022372359,2022-12-23,RITCHIE HWY,Anne Arundel
2022372327,2022-12-23,STAR STELLA DR,Anne Arundel
2022372302,2022-12-23,EB RT100/MAGOTHY BRIDGE RD,Anne Arundel
2022372276,2022-12-23,CORRIDOR MARKETPLACE,Anne Arundel
2022372248,2022-12-23,HOLLIBEN RD,Anne Arundel
2022372234,2022-12-23,DEEPNOTCH WAY,Anne Arundel
2022372230,2022-12-23,RITCHIE HWY,Anne Arundel
2022372220,2022-12-23,MAXWELL V FRYE JR RD/VETERANS HWY,Anne Arundel
2022372144,2022-12-23,SB I97/BENFIELD BLVD,Anne Arundel
2022372124,2022-12-23,GEORGIA AVE NW,Anne Arundel
2022372104,2022-12-23,GEORGE CLAUSS BLVD,Anne Arundel
2022372063,2022-12-23,CLIFTON AVE,Anne Arundel
2022372043,2022-12-23,DEFENSE HWY,Anne Arundel
2022371350,2022-12-22,HEARNE RD,Anne Arundel
2022371331,2022-12-22,ADMIRAL COCHRANE DR,Anne Arundel
2022371283,2022-12-22,ARUNDEL MILLS CIR,Anne Arundel
2022371225,2022-12-22,REECE RD/MEADE VILLAGE RD,Anne Arundel
2022371168,2022-12-22,DORSEY RD/COCA COLA DR,Anne Arundel
2022371143,2022-12-22,MARBURY DR,Anne Arundel
2022371136,2022-12-22,BRIGADIER BLVD,Anne Arundel
2022371102,2022-12-22,FOREST DR,Anne Arundel
2022370891,2022-12-22,TOWN CENTER BLVD,Anne Arundel
2022370863,2022-12-22,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022370802,2022-12-22,CEDAR HILL RD,Anne Arundel
2022370433,2022-12-22,CAMERYN PL,Anne Arundel
2022370372,2022-12-21,CAMP MEADE RD N,Anne Arundel
2022370240,2022-12-21,205TH ST,Anne Arundel
2022370231,2022-12-21,WARWICKSHIRE LN/HARRIS HEIGHTS AVE,Anne Arundel
2022370063,2022-12-21,ANNAPOLIS RD/BERGER ST,Anne Arundel
2022369965,2022-12-21,REECE RD,Anne Arundel
2022369926,2022-12-21,RIPS DR,Anne Arundel
2022369856,2022-12-21,MOUNTAIN RD,Anne Arundel
2022369830,2022-12-21,BENFIELD RD/TRUCK HOUSE RD,Anne Arundel
2022369723,2022-12-21,ARUNDEL MILLS CIR,Anne Arundel
2022369720,2022-12-21,JENNIFER RD/PAVILION PKWY,Anne Arundel
2022369679,2022-12-21,GREEN HOLLY DR,Anne Arundel
2022369350,2022-12-21,LAUREL FORT MEADE RD,Anne Arundel
2022369163,2022-12-20,MEADE VILLAGE CIR,Anne Arundel
2022369107,2022-12-20,RICHFIELD DR,Anne Arundel
2022369058,2022-12-20,CHATHAM RD/11TH AVE W,Anne Arundel
2022368988,2022-12-20,GEORGE CLAUSS BLVD,Anne Arundel
2022368932,2022-12-20,DORBA CT,Anne Arundel
2022368904,2022-12-20,RIVER RD,Anne Arundel
2022368888,2022-12-20,RUSSETT GRN E/LAUREL FORT MEADE RD,Anne Arundel
2022368870,2022-12-20,SOLOMONS ISLAND RD,Anne Arundel
2022368822,2022-12-20,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022368780,2022-12-20,TICK NECK RD,Anne Arundel
2022368686,2022-12-20,FAYWOOD AVE/BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022368617,2022-12-20,DAVIDSONVILLE RD,Anne Arundel
2022368443,2022-12-20,RITCHIE HWY/WB RT100,Anne Arundel
2022368381,2022-12-20,RIVA RD,Anne Arundel
2022368374,2022-12-20,RITCHIE HWY/JUMPERS HOLE RD,Anne Arundel
2022367997,2022-12-19,RITCHIE HWY,Anne Arundel
2022367909,2022-12-19,MARTHAS VINEYARD LN,Anne Arundel
2022367836,2022-12-19,JUMPERS HOLE RD,Anne Arundel
2022367551,2022-12-19,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022367314,2022-12-19,BELLE GROVE RD,Anne Arundel
2022367274,2022-12-19,FLORIDA AVE,Anne Arundel
2022366830,2022-12-18,STEVENS RD,Anne Arundel
2022366815,2022-12-18,E CARTER RD,Anne Arundel
2022366772,2022-12-18,PASADENA RD,Anne Arundel
2022366722,2022-12-18,ARUNDEL MILLS CIR,Anne Arundel
2022366670,2022-12-18,SWEETBAY LN,Anne Arundel
2022366631,2022-12-18,WOOD ST,Anne Arundel
2022366596,2022-12-18,RITCHIE HWY,Anne Arundel
2022366470,2022-12-18,WB RT100 ONR ARUNDEL MILLS/ARUNDEL MILLS BLVD,Anne Arundel
2022366252,2022-12-18,DEERFIELD CIR,Anne Arundel
2022366237,2022-12-18,YEARLING CT,Anne Arundel
2022366122,2022-12-18,ROSE ST,Anne Arundel
2022366004,2022-12-17,GEORGE WILLING AVE,Anne Arundel
2022365990,2022-12-17,SALISBURY RD,Anne Arundel
2022365974,2022-12-17,ARUNDEL MILLS CIR,Anne Arundel
2022365967,2022-12-17,STINCHCOMB RD,Anne Arundel
2022365953,2022-12-17,MEDICAL PKWY,Anne Arundel
2022365943,2022-12-17,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022365926,2022-12-17,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022365918,2022-12-17,HARRIET DR,Anne Arundel
2022365916,2022-12-17,CARROLL RD,Anne Arundel
2022365902,2022-12-17,NEW FREETOWN RD,Anne Arundel
2022365890,2022-12-17,SOUTHAMPTON DR,Anne Arundel
2022365888,2022-12-17,CAMP MEADE RD N,Anne Arundel
2022365798,2022-12-17,CORRIDOR MARKETPLACE,Anne Arundel
2022365757,2022-12-17,JUMPERS HOLE RD/RITCHIE HWY,Anne Arundel
2022365696,2022-12-17,VETERANS HWY,Anne Arundel
2022365653,2022-12-17,CRAIN HWY N,Anne Arundel
2022365633,2022-12-17,CANTEEN CIR,Anne Arundel
2022365625,2022-12-17,NEW CUT RD/UPTON RD,Anne Arundel
2022365616,2022-12-17,ARUNDEL MILLS CIR,Anne Arundel
2022365609,2022-12-17,CRAIN HWY S,Anne Arundel
2022365495,2022-12-17,SHARPS POINT RD,Anne Arundel
2022365271,2022-12-17,VIRGINIA AVE,Anne Arundel
2022365264,2022-12-17,BARGER DR,Anne Arundel
2022365161,2022-12-17,HARVEY AVE,Anne Arundel
2022365152,2022-12-17,FORT SMALLWOOD RD,Anne Arundel
2022365118,2022-12-17,ANNAPOLIS RD,Anne Arundel
2022365000,2022-12-16,CRAIN HWY S,Anne Arundel
2022364682,2022-12-16,LEISURE WAY,Anne Arundel
2022364600,2022-12-16,KUETHE RD/RITCHIE HWY,Anne Arundel
2022364565,2022-12-16,GENERALS HWY,Anne Arundel
2022364495,2022-12-16,NURSERY RD,Anne Arundel
2022364447,2022-12-16,RITCHIE HWY,Anne Arundel
2022364411,2022-12-16,TOWNE CENTRE BLVD,Anne Arundel
2022364136,2022-12-16,CRAIN HWY S,Anne Arundel
2022363946,2022-12-16,RITCHIE HWY/W ORDNANCE RD,Anne Arundel
2022363911,2022-12-16,COVE RD,Anne Arundel
2022363886,2022-12-16,MONMOUTH AVE/BRANDYWINE AVE,Anne Arundel
2022363841,2022-12-15,ARUNDEL MILLS CIR,Anne Arundel
2022363775,2022-12-15,LEISURE WAY,Anne Arundel
2022363694,2022-12-15,NB I97/BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022363526,2022-12-15,HOSPITAL DR,Anne Arundel
2022363451,2022-12-15,COMMANDERS WAY N,Anne Arundel
2022363427,2022-12-15,HAMMONDS LN,Anne Arundel
2022363423,2022-12-15,ANDOVER RD,Anne Arundel
2022363353,2022-12-15,S MAIN CHAPEL WAY,Anne Arundel
2022363141,2022-12-15,AVALON BLVD,Anne Arundel
2022362970,2022-12-15,CHATFIELD TER,Anne Arundel
2022362842,2022-12-14,RITCHIE HWY,Anne Arundel
2022362827,2022-12-14,8TH AVE NE/CRAIN HWY N,Anne Arundel
2022362799,2022-12-14,WILLOW ST,Anne Arundel
2022362791,2022-12-14,OLD COUNTY RD,Anne Arundel
2022362355,2022-12-14,COLLEGE PKWY,Anne Arundel
2022362261,2022-12-14,PASADENA RD/BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022362152,2022-12-14,OAK CT,Anne Arundel
2022362033,2022-12-14,RITCHIE HWY,Anne Arundel
2022361773,2022-12-14,PATRICK HENRY DR,Anne Arundel
2022361742,2022-12-14,FURNACE DR,Anne Arundel
2022361693,2022-12-13,WASHINGTON RD,Anne Arundel
2022361682,2022-12-13,ROBERTS CT,Anne Arundel
2022361600,2022-12-13,ARUNDEL MILLS CIR,Anne Arundel
2022360594,2022-12-13,EASTON SOUTH,Anne Arundel
2022360479,2022-12-12,FURNACE BRANCH RD E,Anne Arundel
2022360313,2022-12-12,WINBORNE DR,Anne Arundel
2022360241,2022-12-12,ODENTON RD,Anne Arundel
2022360020,2022-12-12,ANNAPOLIS RD,Anne Arundel
2022359918,2022-12-12,BALIOL LN/KING MALCOLM AVE,Anne Arundel
2022359815,2022-12-12,WOODSIDE TRL,Anne Arundel
2022359732,2022-12-12,TUNGSTON ST,Anne Arundel
2022359588,2022-12-12,ARUNDEL MILLS BLVD/DORSEY RD,Anne Arundel
2022359559,2022-12-12,EVENING STAR DR,Anne Arundel
2022359320,2022-12-11,HICKORY WOOD DR/WHISPERING WOODS DR,Anne Arundel
2022359279,2022-12-11,LOUISE TER,Anne Arundel
2022359244,2022-12-11,FURNACE BRANCH RD E/COUNTRY CLUB DR,Anne Arundel
2022359227,2022-12-11,HIDDEN BROOK DR/HIDEAWAY LOOP,Anne Arundel
2022359060,2022-12-11,RITCHIE HWY,Anne Arundel
2022359024,2022-12-11,E ORDNANCE RD,Anne Arundel
2022358954,2022-12-11,RITCHIE HWY,Anne Arundel
2022358939,2022-12-11,CRAIN HWY,Anne Arundel
2022358867,2022-12-11,BRICK CHURCH RD,Anne Arundel
2022358843,2022-12-11,ALLEY 4/W MEADOW RD,Anne Arundel
2022358797,2022-12-11,SOLOMONS ISLAND RD,Anne Arundel
2022358711,2022-12-11,ANNAPOLIS RD,Anne Arundel
2022358625,2022-12-11,TANNER LN,Anne Arundel
2022358548,2022-12-11,HARCOURT AVE,Anne Arundel
2022358544,2022-12-11,CENTRAL AVE W/BIRDSVILLE RD,Anne Arundel
2022358497,2022-12-10,KINGS RD,Anne Arundel
2022358491,2022-12-10,CIRCLE RD,Anne Arundel
2022358444,2022-12-10,DUNFIELD CT,Anne Arundel
2022358368,2022-12-10,SHELLYE RD,Anne Arundel
2022358364,2022-12-10,QUIET WATERS PARK RD,Anne Arundel
2022358275,2022-12-10,1ST AVE/HILLTOP RD,Anne Arundel
2022358250,2022-12-10,WARFIELD RD/RITCHIE HWY,Anne Arundel
2022358208,2022-12-10,ORCHARD RD,Anne Arundel
2022358202,2022-12-10,GILL ST,Anne Arundel
2022358124,2022-12-10,CLARK STATION RD,Anne Arundel
2022358056,2022-12-10,W SHORE RD,Anne Arundel
2022358036,2022-12-10,CALAWASSE RD,Anne Arundel
2022357894,2022-12-10,OLD MILL RD,Anne Arundel
2022357872,2022-12-10,STRIDER CT,Anne Arundel
2022357838,2022-12-10,W NURSERY RD,Anne Arundel
2022357804,2022-12-10,BENESCH CIR,Anne Arundel
2022357485,2022-12-09,2ND ST,Anne Arundel
2022357380,2022-12-09,MAIN ST,Anne Arundel
2022357358,2022-12-09,RITCHIE HWY,Anne Arundel
2022357272,2022-12-09,NB RT295/EB RT100,Anne Arundel
2022357240,2022-12-09,CRAIN HWY N/8TH AVE NW,Anne Arundel
2022357208,2022-12-09,POPLAR POINT RD,Anne Arundel
2022357037,2022-12-09,HARMANS RD,Anne Arundel
2022356922,2022-12-09,RITCHIE HWY,Anne Arundel
2022356854,2022-12-09,CONWAY RD/TWO RIVERS BLVD,Anne Arundel
2022356829,2022-12-09,DORCHESTER BLVD,Anne Arundel
2022356628,2022-12-09,PHILLIP DR,Anne Arundel
2022356409,2022-12-08,AUSTIN DR,Anne Arundel
2022356404,2022-12-08,AVERILL CT,Anne Arundel
2022356321,2022-12-08,SUNLIGHT CIR,Anne Arundel
2022356152,2022-12-08,MILLWRIGHT CT,Anne Arundel
2022356143,2022-12-08,KINGSBERRY DR,Anne Arundel
2022356132,2022-12-08,DURNESS CT,Anne Arundel
2022356033,2022-12-08,HAMMONDS LN,Anne Arundel
2022355839,2022-12-08,NOTTINGHAM DR,Anne Arundel
2022355251,2022-12-08,GREEN HOLLY DR,Anne Arundel
2022355205,2022-12-08,LAUREL FORT MEADE RD,Anne Arundel
2022355178,2022-12-08,JOANNE RD,Anne Arundel
2022355145,2022-12-07,SEVERN ORCHARD CIR,Anne Arundel
2022354909,2022-12-07,TALBOT RD,Anne Arundel
2022354786,2022-12-07,LAUREL FORT MEADE RD,Anne Arundel
2022354701,2022-12-07,ANNAPOLIS MALL,Anne Arundel
2022354633,2022-12-07,DULANEY LN,Anne Arundel
2022354635,2022-12-07,201ST ST,Anne Arundel
2022354615,2022-12-07,CROFTON CTR,Anne Arundel
2022354493,2022-12-07,MOUNT ZION MARLBORO RD,Anne Arundel
2022354341,2022-12-07,JUMPERS HOLE RD/BENFIELD RD,Anne Arundel
2022354074,2022-12-07,BALTIMORE ANNAPOLIS BLVD/CRAIN HWY N,Anne Arundel
2022354001,2022-12-07,WOODHILL DR,Anne Arundel
2022353899,2022-12-06,CATHEDRAL PL,Anne Arundel
2022353873,2022-12-06,ANNAPOLIS RD,Anne Arundel
2022353839,2022-12-06,MAIN CHAPEL WAY,Anne Arundel
2022353781,2022-12-06,CRAIN HWY S,Anne Arundel
2022353393,2022-12-06,FUNKE RD,Anne Arundel
2022353321,2022-12-06,MOUNTAIN RD,Anne Arundel
2022353320,2022-12-06,MOUNTAIN RD,Anne Arundel
2022352707,2022-12-05,QUEENS PARK RD,Anne Arundel
2022352639,2022-12-05,CHESAPEAKE CENTER DR,Anne Arundel
2022352617,2022-12-05,JULIANA CIR E,Anne Arundel
2022352564,2022-12-05,CRAIN HWY S,Anne Arundel
2022352557,2022-12-05,AQUAHART RD/RITCHIE HWY,Anne Arundel
2022352501,2022-12-05,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022352404,2022-12-05,HARCOURT AVE,Anne Arundel
2022352217,2022-12-05,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022352170,2022-12-05,RITCHIE HWY,Anne Arundel
2022351928,2022-12-05,WASENA AVE,Anne Arundel
2022351792,2022-12-05,RITCHIE HWY,Anne Arundel
2022351688,2022-12-04,SAINT ANDREWS RD,Anne Arundel
2022351639,2022-12-04,ARUNDEL MILLS CIR,Anne Arundel
2022351636,2022-12-04,CRILLEY RD,Anne Arundel
2022351546,2022-12-04,SLOANE DR,Anne Arundel
2022351506,2022-12-04,FAYWOOD CT,Anne Arundel
2022351472,2022-12-04,HILLSMERE DR,Anne Arundel
2022351417,2022-12-04,CRAIN HWY S,Anne Arundel
2022351392,2022-12-04,HOLLY DR E,Anne Arundel
2022351363,2022-12-04,FAYWOOD CT,Anne Arundel
2022351330,2022-12-04,FAYWOOD AVE,Anne Arundel
2022351324,2022-12-04,CARRIAGE WALK CT,Anne Arundel
2022351257,2022-12-04,OLD RIVERSIDE RD,Anne Arundel
2022351152,2022-12-04,MARGATE DR,Anne Arundel
2022351047,2022-12-04,S PAULA ST,Anne Arundel
2022350970,2022-12-04,TYDINGS DR,Anne Arundel
2022350947,2022-12-04,SWEETWATER DR,Anne Arundel
2022350905,2022-12-03,NURSERY RD,Anne Arundel
2022350899,2022-12-03,FURNACE BRANCH RD E,Anne Arundel
2022350863,2022-12-03,CAMP MEADE RD S/MEDICAL BUILDING RD,Anne Arundel
2022350762,2022-12-03,CALDER WAY,Anne Arundel
2022350721,2022-12-03,COXSWAIN WAY,Anne Arundel
2022350618,2022-12-03,NOLPARK CT,Anne Arundel
2022350533,2022-12-03,EB US50/DAVIDSONVILLE RD,Anne Arundel
2022350515,2022-12-03,LAUREL FORT MEADE RD,Anne Arundel
2022350475,2022-12-03,PINEY ORCHARD PKWY,Anne Arundel
2022350358,2022-12-03,RITCHIE HWY,Anne Arundel
2022350263,2022-12-03,LAUREL FORT MEADE RD/RED CLAY RD,Anne Arundel
2022350236,2022-12-03,GATEWATER CT,Anne Arundel
2022350235,2022-12-03,GLEN RIDGE CIR,Anne Arundel
2022350227,2022-12-03,LINDERA CT,Anne Arundel
2022350055,2022-12-02,VETERANS HWY,Anne Arundel
2022349975,2022-12-02,GREAT BEND RD,Anne Arundel
2022349976,2022-12-02,LADY ASTOR CT,Anne Arundel
2022349937,2022-12-02,CHURCH ST,Anne Arundel
2022349929,2022-12-02,CHESAPEAKE CENTER DR,Anne Arundel
2022349888,2022-12-02,OLD RIVERSIDE RD,Anne Arundel
