YEAR,COUNTY,DEM,REP,GRN,LIB,UNA,OTH,Total
2022,Allegany,11899,23004,77,233,8482,460,44155
2022,Anne Arundel,176322,131352,654,2323,99218,3473,413342
2022,Baltimore City,305971,28368,925,1088,57504,4682,398538
2022,Baltimore County,312409,138517,915,2540,109230,6681,570292
2022,Calvert,24159,28314,102,431,15603,625,69234
2022,Caroline,6338,10708,35,114,4602,207,22004
2022,Carroll,33934,64548,195,805,28980,1144,129606
2022,Cecil,20896,32428,116,458,16777,784,71459
2022,Charles,75233,23536,132,424,22336,1009,122670
2022,Dorchester,9661,9059,22,111,3831,222,22906
2022,Frederick,78067,69279,337,1180,49629,1286,199778
2022,Garrett,3734,13755,24,106,2849,176,20644
2022,Harford,65978,81112,250,1221,42015,1875,192451
2022,Howard,122784,49466,359,919,57880,2143,233551
2022,Kent,5913,5274,20,68,2619,135,14029
2022,Montgomery,416702,98558,1144,2292,162053,6036,686785
2022,Prince George's,466379,37977,798,1348,87010,11428,604940
2022,Queen Anne's,11244,19877,47,230,8148,340,39886
2022,St. Mary's,25852,32326,112,489,17212,753,76744
2022,Somerset,5615,6065,24,63,2320,132,14219
2022,Talbot,10968,11848,44,147,5781,242,29030
2022,Washington,31819,44518,174,639,22480,995,100625
2022,Wicomico,27045,24205,111,358,13827,778,66324
2022,Worcester,13954,19346,57,217,8544,497,42615